smiles,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,rtb,Molecular Weight,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,pChEMBL Value
N=C(N)c1ccc(CNC(=O)[C@H](CCC2CCNCC2)NC(=O)[C@@H](CCCC2CCNCC2)NS(=O)(=O)Cc2ccccc2)cc1,2.51,2.0,-5.87,1.16,9.3,653.89,7.0,11.0,7.0,8.0,46.0,1.0,653.89,653.3723,3.0,2.0,178.3,0.1,17.0,653.89,9.32,0.18,3.59,3.42,6.1
C[C@]1(c2ccccc2)C[C@@H](c2cc(N)cc(-c3ccc(C(N)=O)cc3C(=O)O)c2)Nc2ccc(C(=N)N)cc21,4.88,4.0,2.04,2.04,3.21,519.61,5.0,8.0,6.0,9.0,39.0,0.5,519.61,519.227,2.0,2.0,168.31,0.12,6.0,519.61,17.69,0.32,4.31,5.46,9.19
C[C@]1(c2ccccc2)C[C@@H](c2cccc(-c3ccc(N)cc3C(=O)O)c2)Nc2ccc(C(=N)N)cc21,5.78,4.0,3.19,3.19,4.49,476.58,4.0,6.0,5.0,7.0,36.0,0.5,476.58,476.2212,2.0,1.0,125.22,0.14,5.0,476.58,15.09,0.27,1.41,5.74,7.19
COC(=O)Nc1ccc2c(c1)NC(=O)CC/C=C/C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c(Cl)[nH]1,5.09,4.0,3.73,3.73,9.96,622.47,9.0,13.0,4.0,4.0,43.0,0.0,622.47,621.1407,3.0,2.0,168.81,0.18,5.0,622.47,16.91,0.33,5.43,6.23,10.52
COC(=O)Nc1ccc2c(c1)NC(=O)C/C=C/C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,4.04,4.0,2.97,2.97,12.17,574.0,9.0,13.0,4.0,4.0,41.0,0.0,574.0,573.164,2.0,1.0,168.81,0.2,5.0,574.0,11.46,0.22,2.54,3.9,6.58
CC1COC(=O)Nc2cccc(c2)CNC(=O)C(Nc2ccc3c(N)nccc3c2)c2ccc1cc2,4.95,4.0,2.49,3.8,12.52,481.56,6.0,8.0,4.0,5.0,36.0,1.0,481.56,481.2114,0.0,0.0,118.37,0.32,2.0,481.56,10.31,0.19,0.02,4.2,4.97
COC(=O)Nc1ccc2c(c1)NC(=O)CC/C=C/C[C@H](NC(=O)c1c(F)cc(C)cc1F)c1nc-2c(Cl)[nH]1,5.64,3.0,4.38,4.38,9.96,543.96,5.0,9.0,4.0,4.0,38.0,0.0,543.96,543.1485,2.0,2.0,125.21,0.32,3.0,543.96,14.33,0.28,2.16,6.23,7.8
C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(C(F)(F)F)nn3)cc2=O)c2ccnc(c2)-c2c(cnn2C)NC1=O,5.31,5.0,4.23,4.23,11.98,624.03,10.0,11.0,1.0,1.0,44.0,0.0,624.03,623.1772,3.0,2.0,125.41,0.29,3.0,624.03,16.02,0.31,4.69,7.97,10.0
O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc2[nH]c(=O)cc(O)c2c1,3.24,5.0,2.62,3.2,6.95,555.98,8.0,11.0,4.0,4.0,40.0,0.0,555.98,555.1422,2.0,1.0,154.89,0.21,8.0,555.98,14.3,0.27,4.71,5.13,7.95
COC(=O)Nc1ccc(S(=O)(=O)C(C)C)c([C@H]2CCCN2C(=O)[C@H](Nc2ccc3c(N)nccc3c2)c2cc(C)ccc2F)c1,6.14,4.0,3.35,4.66,12.47,633.75,8.0,10.0,3.0,4.0,45.0,1.0,633.75,633.2421,2.0,2.0,143.72,0.21,8.0,633.75,7.82,0.15,-1.18,3.45,4.96
COC(=O)Nc1ccc(S(=O)(=O)C(C)C)c([C@H]2CCCN2C(=O)[C@H](Nc2ccc3c(N)nccc3c2)c2ccc(F)c(OC)c2)c1,5.84,4.0,2.67,3.99,12.5,649.75,9.0,11.0,3.0,4.0,46.0,1.0,649.75,649.237,3.0,2.0,152.95,0.2,9.0,649.75,7.63,0.15,-0.88,3.24,4.96
CCOc1cc(C(Nc2ccc3c(N)nccc3c2)C(=O)NCc2cc(NC(C)=O)ccc2S(=O)(=O)CC)ccc1OC(C)C,5.22,4.0,1.63,2.94,12.93,633.77,9.0,11.0,4.0,5.0,45.0,1.0,633.77,633.2621,3.0,2.0,161.74,0.15,13.0,633.77,8.52,0.16,0.18,3.34,5.4
CCOc1cc(C(Nc2ccc3c(N)nccc3c2)C(=O)NCc2ccccc2)ccc1OC(C)C,5.47,4.0,3.04,4.35,13.21,484.6,6.0,7.0,3.0,4.0,36.0,1.0,484.6,484.2474,1.0,1.0,98.5,0.28,10.0,484.6,11.16,0.21,-0.06,5.49,5.41
O=C(O)c1ccc(NC(=O)C2c3cccc(C(=O)N4CCNCC4)c3CCN2C(=O)/C=C/c2c(-n3cnnn3)ccc(Cl)c2F)cc1,2.98,4.0,0.3,0.41,4.16,659.08,9.0,13.0,3.0,3.0,47.0,-1.0,659.08,658.1855,2.0,1.0,162.65,0.25,7.0,659.08,9.49,0.18,3.28,3.85,6.26
COC(=O)Nc1ccc(-c2cccc3c2CCN(C(=O)/C=C/c2c(-n4cnnn4)ccc(Cl)c2F)[C@H]3C(=O)Nc2ccc(F)cc2)cc1,6.22,5.0,6.1,6.1,12.86,670.08,8.0,11.0,2.0,2.0,48.0,0.0,670.08,669.1703,3.0,2.0,131.34,0.2,7.0,670.08,8.17,0.16,-0.75,4.17,5.47
CCOc1cc(C(Nc2ccc3c(N)nccc3c2)C(=O)NCc2cccc(N)c2)ccc1OC(C)C,5.05,4.0,2.21,3.52,13.22,499.62,7.0,8.0,4.0,6.0,37.0,1.0,499.62,499.2583,2.0,1.0,124.52,0.22,10.0,499.62,10.03,0.19,-0.04,4.03,5.01
CCOc1cc(C(Nc2ccc3c(N)nccc3c2)C(=O)NCc2ccccc2S(=O)(=O)C(C)C)ccc1OC(C)C,5.65,4.0,2.96,4.27,13.12,590.75,8.0,9.0,3.0,4.0,42.0,1.0,590.75,590.2563,2.0,2.0,132.64,0.19,12.0,590.75,8.39,0.16,-0.69,3.74,4.96
N=C(N)c1ccc(CNC(=O)[C@H](CCC2CCNCC2)NC(=O)[C@@H](CCCc2ccccc2)NS(=O)(=O)Cc2ccccc2)cc1,3.36,3.0,-1.55,2.78,9.33,646.86,6.0,10.0,6.0,7.0,46.0,1.0,646.86,646.3301,2.0,2.0,166.27,0.1,17.0,646.86,10.62,0.2,3.51,4.13,6.87
Nc1n[nH]c2cc(NC(=O)[C@H](Cc3ccccc3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)ccc12,3.15,5.0,3.42,3.42,12.49,527.98,8.0,11.0,4.0,5.0,38.0,0.0,527.98,527.1585,2.0,1.0,156.5,0.23,8.0,527.98,15.52,0.29,5.04,5.24,8.19
O=C(O)c1ccc(C(=O)N[C@@H](Cc2ccccc2)C(=O)NCCc2cc(Cl)ccc2-n2cnnn2)cc1,2.71,4.0,0.19,3.48,3.74,518.96,7.0,10.0,3.0,3.0,37.0,-1.0,518.96,518.1469,1.0,1.0,139.1,0.29,10.0,518.96,10.73,0.21,2.86,4.0,5.57
N=C(N)c1ccc(CNC(=O)C(Cc2ccc(CN)cc2)NC(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cc1,1.79,2.0,-2.05,0.03,1.74,536.68,6.0,10.0,7.0,9.0,39.0,0.5,536.68,536.3111,2.0,2.0,183.42,0.14,14.0,536.68,8.8,0.17,2.93,2.57,4.72
CCOc1cc(C(Nc2ccc3c(N)nccc3c2)C(=O)NCc2cccc(NC(C)=O)c2)ccc1OC(C)C,5.43,4.0,2.28,3.59,13.16,541.65,7.0,9.0,4.0,5.0,40.0,1.0,541.65,541.2689,2.0,2.0,127.6,0.2,11.0,541.65,9.15,0.17,-0.47,3.89,4.96
CCOC(=O)N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,2.92,3.0,2.7,2.7,13.68,514.99,7.0,9.0,2.0,2.0,35.0,0.0,514.99,514.1078,1.0,1.0,109.74,0.53,6.0,514.99,9.97,0.2,2.21,4.68,5.13
CCC(=O)N1CCC(CC[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)CC1,2.77,2.0,-3.23,1.1,9.33,695.93,7.0,12.0,6.0,7.0,49.0,1.0,695.93,695.3829,3.0,2.0,186.58,0.11,17.0,695.93,8.83,0.17,3.37,3.29,6.14
